title,company,description,requirements,location,salary,fraudulent
Cybersecurity Analyst,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,986653,0
Frontend Developer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,894203,0
DevOps Engineer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,418842,0
Software Engineer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,1128519,0
No Skill Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1944700,1
Data Scientist,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,959185,0
System Administrator,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,619905,0
Work From Home Typing,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1961299,1
System Administrator,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,875633,0
Easy Money Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1547988,1
Part Time Data Entry,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1176840,1
Earn ₹5000 Daily,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1007361,1
Backend Developer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,673233,0
DevOps Engineer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,431214,0
Data Scientist,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,1181027,0
Frontend Developer,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,543998,0
Cybersecurity Analyst,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,555602,0
Software Engineer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,1019023,0
Software Engineer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,563959,0
Software Engineer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,380578,0
DevOps Engineer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,333420,0
Cybersecurity Analyst,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,1008672,0
Online Form Filling,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,640028,1
Easy Money Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,614999,1
Work From Home Typing,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,907257,1
Work From Home Typing,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,863359,1
Backend Developer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,825819,0
System Administrator,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,732449,0
Data Scientist,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,702379,0
Part Time Data Entry,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1017725,1
Backend Developer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,973351,0
Cybersecurity Analyst,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,896586,0
Easy Money Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1739864,1
Software Engineer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,769322,0
Backend Developer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,988930,0
Easy Money Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1181450,1
DevOps Engineer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,733087,0
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1476451,1
Frontend Developer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,1003874,0
Earn ₹5000 Daily,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1773559,1
Earn ₹5000 Daily,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1728639,1
Earn ₹5000 Daily,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,763059,1
Frontend Developer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,471874,0
Easy Money Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1138891,1
Earn ₹5000 Daily,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1183439,1
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1989507,1
Online Form Filling,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,819638,1
Part Time Data Entry,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1162619,1
System Administrator,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,447312,0
Work From Home Typing,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1048037,1
Easy Money Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,719027,1
UI/UX Designer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,480409,0
System Administrator,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,809118,0
Work From Home Typing,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1674481,1
No Skill Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1556414,1
System Administrator,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,478889,0
Easy Money Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1892992,1
Easy Money Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1657198,1
UI/UX Designer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,916973,0
Frontend Developer,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,571004,0
Part Time Data Entry,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1683111,1
Work From Home Typing,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1386405,1
Work From Home Typing,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1854031,1
Easy Money Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1219668,1
DevOps Engineer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,1171278,0
Frontend Developer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,538456,0
Easy Money Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,633171,1
UI/UX Designer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,304022,0
